R_2uPC7JwUIYcgG6B,Default Response Set,Anonymous,,,99.68.245.254,0,04/06/2017 11:59,04/06/2017 12:04,1,1,1,,,,,Second,First,,,,,,,,,,,"I just picked the sound that sounded lighter and weaker than the other making it a ""softer"" sound.  Sounds were not distinguishable words either.",Yes,Yes,65,female,right-handed,English,None,No,No,No,Never,Never,1,MF_KhyaKheu_KhyaKheu,41.69720459,-81.19740295,-1
R_1dGgaFVkAYAwdSG,Default Response Set,Anonymous,,,50.88.101.61,0,04/06/2017 12:15,04/06/2017 12:17,1,1,1,Second,Second,,,,,,,,,,,,,,,The two second ones were softer and doesn't feel as rough,Yes,No,19,male,right-handed,English,None,Yes,No,No,Never,Never,1,MF_KheuKhya_KheuKhya,28.24229431,-81.44560242,-1
R_3HvRCUVZJMPCj9h,Default Response Set,Anonymous,,,67.253.211.140,0,04/06/2017 12:14,04/06/2017 12:17,1,1,1,,,,,First,First,,,,,,,,,,,"I don't know. ""Sh"" sounds are softer than ""K"" sounds of course, and the first ones in each pair had more of that mixed in. Also, the second in each pair just had the initial hard sound pronounced louder and more explosively.",Yes,No,38,female,right-handed,English,None,No,No,No,Rarely,Never,1,MF_KhyaKheu_KhyaKheu,42.86849976,-76.78479767,-1
R_20O2p6NrBSUvw0q,Default Response Set,Anonymous,,,184.53.16.48,0,04/06/2017 12:15,04/06/2017 12:18,1,1,1,,,,,,,,,,,First,Second,,,,,I think it was the trailing end of the sound that made me choose. ,Yes,No,43,male,right-handed,English,None,Yes,No,No,Never,Never,1,FM_KhyaKheu_KheuKhya,42.4644928,-83.376297,-1
R_wLj6OMo59KgJJ05,Default Response Set,Anonymous,,,207.179.194.221,0,04/06/2017 12:15,04/06/2017 12:18,1,1,1,,,,,,,,,First,Second,,,,,,,The sounds I chose as softer sounded softer because they had more of an aspiration after the initial sound.,Yes,Yes,65,female,right-handed,English,None,No,No,No,Don't know,Never,1,MF_KhyaKheu_KheuKhya,40.81329346,-89.40869904,-1
R_6FpYez1EkRlLADn,Default Response Set,Anonymous,,,104.244.146.67,0,04/06/2017 12:15,04/06/2017 12:18,1,1,1,First,Second,,,,,,,,,,,,,,,What influenced my judgment the most was the sharpness of the sounds and how loud they were.,Yes,No,37,female,right-handed,english,None,No,No,No,Rarely,Never,1,MF_KheuKhya_KheuKhya,32.16560364,-85.67079926,-1
R_3P7TtwX1Es2gRBj,Default Response Set,Anonymous,,,76.114.53.105,0,04/06/2017 12:17,04/06/2017 12:19,1,1,1,,,,,,,,,,,,,Second,First,,,The sound that wasn't as startling is what I chose as softest.,Yes,No,27,female,right-handed,english,None,Yes,No,No,Never,Never,1,MF_KheuKhya_KhyaKheu,38.48550415,-121.3431015,-1
R_2wKYf9yxDvzJKjr,Default Response Set,Anonymous,,,72.175.125.199,0,04/06/2017 12:15,04/06/2017 12:19,1,1,1,,,Second,First,,,,,,,,,,,,,To me the softer sounds were lower.  The sounds were similar to me except for that.,Yes,No,69,female,right-handed,English,None,No,No,No,Occasionally,Never,1,FM_KheuKhya_KheuKhya,38.47790527,-105.4555969,-1
R_eepJm6QL1igtwWJ,Default Response Set,Anonymous,,,172.11.220.144,0,04/06/2017 12:30,04/06/2017 12:32,1,1,1,,,,,First,First,,,,,,,,,,,none,Yes,No,35,male,right-handed,English,None,Maybe,No,No,Never,Never,1,MF_KhyaKheu_KhyaKheu,39.6473999,-84.15730286,-1
R_3R8uRr2ikwoSmIo,Default Response Set,Anonymous,,,159.118.181.10,0,04/06/2017 12:41,04/06/2017 12:44,1,1,1,,,Second,First,,,,,,,,,,,,,"If it didn't make as much noise, I chose it to be softer.",Yes,No,60,female,right-handed,English,None,Maybe,No,No,Never,Never,1,FM_KheuKhya_KheuKhya,33.56820679,-104.4225006,-1
