ID,Gender,Age,Native,KoreanVisit,KoreanDrama,KoreanLanguage,SojuQuestion,KoreanRestaurant,KoreanFriends,Qualitative,Condition,StimGender,Resp,RespType,Question
R_3jUHNWltSKOWqOm,male,19,English,Never,Never,None,No,No,No,"I think I gravitated towards the sounds that were the least harsh. I believe I preferred the sounds that were smoother and easier on my own ears. I'm still not entirely sure what the sounds were exactly, but hopefully my response can help with the research.",KheuKhya,Female,Second,Khya,pleasant
R_3jUHNWltSKOWqOm,male,19,English,Never,Never,None,No,No,No,"I think I gravitated towards the sounds that were the least harsh. I believe I preferred the sounds that were smoother and easier on my own ears. I'm still not entirely sure what the sounds were exactly, but hopefully my response can help with the research.",KhyaKheu,Male,Second,Kheu,pleasant
R_3lFSkQgsbX6RXSz,female,30,english,Never,Don't know,None,No,No,No,second sound is pleasant thats why i choosed,KheuKhya,Female,Second,Khya,pleasant
R_3lFSkQgsbX6RXSz,female,30,english,Never,Don't know,None,No,No,No,second sound is pleasant thats why i choosed,KheuKhya,Male,Second,Khya,pleasant
R_3lyudKwLzobzO9q,female,50,english,Never,Rarely,None,Yes,Yes,Yes,how loud the sound was and how pleasing to the ear,KheuKhya,Female,Second,Khya,pleasant
R_3lyudKwLzobzO9q,female,50,english,Never,Rarely,None,Yes,Yes,Yes,how loud the sound was and how pleasing to the ear,KheuKhya,Male,First,Kheu,pleasant
R_3M4prWZiZzHKX11,male,19,English,Never,Never,None,No,Maybe,No,I think the crisper the sound was the more I liked it. I think it sounded so pleasant because it sounded kind of like a beat in a song.,KhyaKheu,Male,Second,Kheu,pleasant
R_3M4prWZiZzHKX11,male,19,English,Never,Never,None,No,Maybe,No,I think the crisper the sound was the more I liked it. I think it sounded so pleasant because it sounded kind of like a beat in a song.,KhyaKheu,Female,Second,Kheu,pleasant
R_3mfnKX142VA6hia,female,30,English,Never,Rarely,None,No,No,Yes,They were the same on both pages but the length of the clip was modified.,KhyaKheu,Male,Second,Kheu,pleasant
R_3mfnKX142VA6hia,female,30,English,Never,Rarely,None,No,No,Yes,They were the same on both pages but the length of the clip was modified.,KheuKhya,Female,Second,Khya,pleasant
R_3mmXD5ECw0E3xOi,female,44,English,Never,Never,None,No,Yes,No,I just rated them on the way I felt when listening.,KheuKhya,Male,Second,Khya,pleasant
R_3mmXD5ECw0E3xOi,female,44,English,Never,Never,None,No,Yes,No,I just rated them on the way I felt when listening.,KhyaKheu,Female,First,Khya,pleasant
R_3MzLznpEKzCFXlq,male,57,English,Never,Never,None,No,Yes,No,I thought the more pleasant tones were a bit softer,KhyaKheu,Female,Second,Kheu,pleasant
R_3MzLznpEKzCFXlq,male,57,English,Never,Never,None,No,Yes,No,I thought the more pleasant tones were a bit softer,KheuKhya,Male,Second,Khya,pleasant
R_3qJOYANZeDnB8JU,female,31,English,Never,Never,None,Yes,Yes,No,"The ones I picked weren't as ""harsh"" on the ears. Im listening with noise canceling headphones so harsh noises hurt a little more. ",KheuKhya,Male,Second,Khya,pleasant
R_3qJOYANZeDnB8JU,female,31,English,Never,Never,None,Yes,Yes,No,"The ones I picked weren't as ""harsh"" on the ears. Im listening with noise canceling headphones so harsh noises hurt a little more. ",KheuKhya,Female,Second,Khya,pleasant
R_3RmwG9hIYWb1kHx,female,27,english,Never,Regularly,None,Maybe,Maybe,Maybe,good survey,KheuKhya,Male,First,Kheu,pleasant
R_3RmwG9hIYWb1kHx,female,27,english,Never,Regularly,None,Maybe,Maybe,Maybe,good survey,KheuKhya,Female,First,Kheu,pleasant
R_3s5fJVYGdR0JXZv,female,29,english,Short visit(s),Rarely,Novice,No,No,Maybe,the sound was something different. and i am happy to hear.,KheuKhya,Male,Second,Khya,pleasant
R_3s5fJVYGdR0JXZv,female,29,english,Short visit(s),Rarely,Novice,No,No,Maybe,the sound was something different. and i am happy to hear.,KheuKhya,Female,Second,Khya,pleasant
R_3syrVueNvL92qfv,male,37,English and Spanish,Never,Rarely,None,No,Yes,Yes,"The first in both had a much harsher ""start"" to them",KhyaKheu,Male,Second,Kheu,pleasant
R_3syrVueNvL92qfv,male,37,English and Spanish,Never,Rarely,None,No,Yes,Yes,"The first in both had a much harsher ""start"" to them",KhyaKheu,Female,Second,Kheu,pleasant
R_4GCJOsfqvVJuYc9,,NA,,,,,,,,,NA,NA,NA,NA,pleasant
R_4GCJOsfqvVJuYc9,,NA,,,,,,,,,NA,NA,NA,NA,pleasant
R_6KkC5LgL1KvrReh,male,55,English,Never,Never,None,No,No,No,"I think I chose the one that sounded softer, less harsh",KhyaKheu,Male,Second,Kheu,pleasant
R_6KkC5LgL1KvrReh,male,55,English,Never,Never,None,No,No,No,"I think I chose the one that sounded softer, less harsh",KheuKhya,Female,First,Kheu,pleasant
R_6xr6yjt8P9aUwyB,female,29,english,Never,Never,None,No,Yes,Yes,The first sound I picked sound like a person sneezing. the second sound I picked sounded like a can of soda opening. They sounded safe.,KheuKhya,Female,Second,Khya,pleasant
R_6xr6yjt8P9aUwyB,female,29,english,Never,Never,None,No,Yes,Yes,The first sound I picked sound like a person sneezing. the second sound I picked sounded like a can of soda opening. They sounded safe.,KheuKhya,Male,Second,Khya,pleasant
R_8ce4bEsx9lA25Nv,female,44,English,Never,Never,None,No,No,No,The ones that sounded less pleasant sounded a little sharper in tone. The ones I rated as more pleasant tended to sound smoother.,KhyaKheu,Male,Second,Kheu,pleasant
R_8ce4bEsx9lA25Nv,female,44,English,Never,Never,None,No,No,No,The ones that sounded less pleasant sounded a little sharper in tone. The ones I rated as more pleasant tended to sound smoother.,KheuKhya,Female,First,Kheu,pleasant
R_9nr5qXmd4EHSuuB,male,20,English,Never,Rarely,None,No,Maybe,No,I mainly just chose the sound that was least loud and just didn't feel so dominant! ,KhyaKheu,Female,First,Khya,pleasant
R_9nr5qXmd4EHSuuB,male,20,English,Never,Rarely,None,No,Maybe,No,I mainly just chose the sound that was least loud and just didn't feel so dominant! ,KheuKhya,Male,First,Kheu,pleasant
R_A5lK1ET58ItpTuV,male,32,English,Never,Rarely,None,No,Yes,No,"The ones I chose sounded more ""flat"" and not as accented or emotional as the other. Sounded to me like they were making a ""cat"" sound.",KheuKhya,Male,First,Kheu,pleasant
R_A5lK1ET58ItpTuV,male,32,English,Never,Rarely,None,No,Yes,No,"The ones I chose sounded more ""flat"" and not as accented or emotional as the other. Sounded to me like they were making a ""cat"" sound.",KheuKhya,Female,First,Kheu,pleasant
R_a8XPPPzvbaY6xGx,female,38,yes,Lived 0-5 years,Occasionally,Intermediate,Yes,Maybe,Yes,right information,KhyaKheu,Female,First,Khya,pleasant
R_a8XPPPzvbaY6xGx,female,38,yes,Lived 0-5 years,Occasionally,Intermediate,Yes,Maybe,Yes,right information,KhyaKheu,Male,First,Khya,pleasant
R_b71xuOGTCEZFt9T,male,42,english,Never,Never,None,No,No,No,How hard or harsh the sound was I judged as unpleasant,KhyaKheu,Male,First,Khya,pleasant
R_b71xuOGTCEZFt9T,male,42,english,Never,Never,None,No,No,No,How hard or harsh the sound was I judged as unpleasant,KhyaKheu,Female,Second,Kheu,pleasant
R_cYGh9x5ARVduw3D,female,26,English,Never,Occasionally,None,Yes,Maybe,No,Sound level influenced my judgment.,KheuKhya,Female,First,Kheu,pleasant
R_cYGh9x5ARVduw3D,female,26,English,Never,Occasionally,None,Yes,Maybe,No,Sound level influenced my judgment.,KheuKhya,Male,Second,Khya,pleasant
R_dbAhpMOrz65v7Pj,male,29,English,Never,Never,None,No,No,No,I chose the one that was less annoying to hear. They sounded like noises a cat would make.,KheuKhya,Male,Second,Khya,pleasant
R_dbAhpMOrz65v7Pj,male,29,English,Never,Never,None,No,No,No,I chose the one that was less annoying to hear. They sounded like noises a cat would make.,KheuKhya,Female,Second,Khya,pleasant
R_DMIo6k5ZnQ3Q8F3,female,40,English,Never,Occasionally,None,No,Yes,Yes,If it seemed more like a whisper I guess that made it more appealing.  Not certain thought.  Just went with my gut.,KheuKhya,Female,Second,Khya,pleasant
R_DMIo6k5ZnQ3Q8F3,female,40,English,Never,Occasionally,None,No,Yes,Yes,If it seemed more like a whisper I guess that made it more appealing.  Not certain thought.  Just went with my gut.,KhyaKheu,Male,First,Khya,pleasant
R_e5qK86102Vzkkpj,male,25,ENGLISH,Short visit(s),Occasionally,Intermediate,Yes,Yes,Yes,IDENTIFYING THE PLEASANT SOUND,KheuKhya,Male,First,Kheu,pleasant
R_e5qK86102Vzkkpj,male,25,ENGLISH,Short visit(s),Occasionally,Intermediate,Yes,Yes,Yes,IDENTIFYING THE PLEASANT SOUND,KhyaKheu,Female,Second,Kheu,pleasant
R_oXGNfEYNS8h059f,female,40,English,Never,Never,None,No,No,No,don't know why,KhyaKheu,Female,First,Khya,pleasant
R_oXGNfEYNS8h059f,female,40,English,Never,Never,None,No,No,No,don't know why,KheuKhya,Male,First,Kheu,pleasant
R_PO37cCqRD0YrOa5,male,36,English,Never,Never,None,No,Maybe,No,I just did as i was asked an picked the one that felt most pleasant without thinking about it too much.,KhyaKheu,Female,First,Khya,pleasant
R_PO37cCqRD0YrOa5,male,36,English,Never,Never,None,No,Maybe,No,I just did as i was asked an picked the one that felt most pleasant without thinking about it too much.,KhyaKheu,Male,Second,Kheu,pleasant
R_Pvqo2MqLRplKeUp,female,28,ENGLISH,Short visit(s),Rarely,None,Yes,Maybe,Yes,MY JUDGEMENT BASED ON WHAT I HEAR ON THAT AUDIO.,KheuKhya,Male,First,Kheu,pleasant
R_Pvqo2MqLRplKeUp,female,28,ENGLISH,Short visit(s),Rarely,None,Yes,Maybe,Yes,MY JUDGEMENT BASED ON WHAT I HEAR ON THAT AUDIO.,KhyaKheu,Female,Second,Kheu,pleasant
