ID,Gender,Age,Native,KoreanVisit,KoreanDrama,KoreanLanguage,SojuQuestion,KoreanRestaurant,KoreanFriends,Qualitative,Condition,StimGender,Resp,RespType,Question
R_1DOxqdKSEN8dv8x,male,45,Engilsh,Lived 0-5 years,Rarely,Intermediate,Maybe,Yes,Yes,What does it take to ask for what you want<d1>and then get it? There seems to be a magical art behind creating a great ask,KheuKhya,Male,Second,Khya,unpleasant
R_1EhuF0cnVq0v1NQ,female,29,English,Never,Never,None,No,Maybe,No,"I listened to my body language and resistances towards each noise. I decided which one I would listen to again if I had to make a choice, and which one I would rather not hear again. ",KhyaKheu,Male,First,Khya,unpleasant
R_1EhuF0cnVq0v1NQ,female,29,English,Never,Never,None,No,Maybe,No,"I listened to my body language and resistances towards each noise. I decided which one I would listen to again if I had to make a choice, and which one I would rather not hear again. ",KheuKhya,Female,First,Kheu,unpleasant
R_1ex7raCUO5rXnKI,male,29,English and Pidgin ,Never,Rarely,None,No,Yes,Yes,I just went by which noise was more annoying to me. ,KhyaKheu,Male,First,Khya,unpleasant
R_1ex7raCUO5rXnKI,male,29,English and Pidgin ,Never,Rarely,None,No,Yes,Yes,I just went by which noise was more annoying to me. ,KheuKhya,Female,Second,Khya,unpleasant
R_1EZpLJbCRENld04,male,65,English ,Lived 0-5 years,Regularly,Advanced,Maybe,Yes,Maybe,very good performing,KhyaKheu,Female,Second,Kheu,unpleasant
R_1EZpLJbCRENld04,male,65,English ,Lived 0-5 years,Regularly,Advanced,Maybe,Yes,Maybe,very good performing,KhyaKheu,Male,First,Khya,unpleasant
R_1flSmIyUdemthF0,female,37,English,Never,Rarely,None,No,Yes,No,"The sounds that I said sounded more unpleasant sounded ""harder"", ""harsher"", and sort of more aggressive than the other sound. However, I did not find any of the sounds unbearably unpleasant by any means. I noticed the sounds had some similarities. They all started with a K sound. The way the sounds were finished was different. I am pretty sure the MORE PLEASANT ones ended in a softer more breathy sound and a vowel type sound. ",KhyaKheu,Male,First,Khya,unpleasant
R_1flSmIyUdemthF0,female,37,English,Never,Rarely,None,No,Yes,No,"The sounds that I said sounded more unpleasant sounded ""harder"", ""harsher"", and sort of more aggressive than the other sound. However, I did not find any of the sounds unbearably unpleasant by any means. I noticed the sounds had some similarities. They all started with a K sound. The way the sounds were finished was different. I am pretty sure the MORE PLEASANT ones ended in a softer more breathy sound and a vowel type sound. ",KheuKhya,Female,First,Kheu,unpleasant
R_1ghywlR8h2QQtWr,female,44,English ,Never,Never,None,No,No,No,"The first 2 audio files, I found the second was more crisp and sharp which startled me a little. The 2nd set of files, the second one had a creepy echo. ",KhyaKheu,Female,Second,Kheu,unpleasant
R_1ghywlR8h2QQtWr,female,44,English ,Never,Never,None,No,No,No,"The first 2 audio files, I found the second was more crisp and sharp which startled me a little. The 2nd set of files, the second one had a creepy echo. ",KheuKhya,Male,Second,Khya,unpleasant
R_1giQPupg67dnWpW,male,52,English (US),Never,Rarely,None,No,Yes,No,"Just sounded more ""harsh""",KheuKhya,Female,First,Kheu,unpleasant
