ID,Gender,Native,KoreanVisit,KoreanDrama,KoreanLanguage,SojuQuestion,KoreanRestaurant,KoreanFriends,Qualitative,Condition,StimGender,Resp,RespType,Question
R_3hFS1aHfJVb2BHS,female,English,Never,Never,None,No,No,No,NA,KhyaKheu,Male,Second,Kheu,rough
R_3izhci3pBF4237w,male,english,Never,Never,Intermediate,No,No,No,NA,KheuKhya,Male,First,Kheu,rough
R_3izhci3pBF4237w,male,english,Never,Never,Intermediate,No,No,No,NA,KhyaKheu,Female,Second,Kheu,rough
R_3n7oXninRlG6Syz,female,English,Never,Occasionally,None,No,Yes,No,NA,KheuKhya,Female,First,Kheu,rough
R_3n7oXninRlG6Syz,female,English,Never,Occasionally,None,No,Yes,No,NA,KheuKhya,Male,First,Kheu,rough
R_3PEMt4401HnmS3G,male,English,Never,Occasionally,None,No,Yes,Yes,NA,KhyaKheu,Male,First,Khya,rough
R_3PEMt4401HnmS3G,male,English,Never,Occasionally,None,No,Yes,Yes,NA,KhyaKheu,Female,Second,Kheu,rough
R_3Rz16dqsnkkP5sI,male,English,Never,Never,None,No,Yes,No,NA,KheuKhya,Female,First,Kheu,rough
R_3Rz16dqsnkkP5sI,male,English,Never,Never,None,No,Yes,No,NA,KhyaKheu,Male,Second,Kheu,rough
R_50W5levoS8V6Vvb,male,English,Never,Never,None,No,No,No,NA,KheuKhya,Female,First,Kheu,rough
R_50W5levoS8V6Vvb,male,English,Never,Never,None,No,No,No,NA,KhyaKheu,Male,First,Khya,rough
R_73cKG5uK99SctvX,,,,,,,,,NA,KheuKhya,Female,First,Kheu,rough
R_73cKG5uK99SctvX,,,,,,,,,NA,KheuKhya,Male,First,Kheu,rough
R_7WcclRhI9M7ZQ2Z,male,English,Never,Never,None,No,Yes,No,NA,KheuKhya,Male,First,Kheu,rough
R_7WcclRhI9M7ZQ2Z,male,English,Never,Never,None,No,Yes,No,NA,KhyaKheu,Female,Second,Kheu,rough
