ID,Gender,Native,KoreanVisit,KoreanDrama,KoreanLanguage,SojuQuestion,KoreanRestaurant,KoreanFriends,Qualitative,Condition,StimGender,Resp,RespType,Question
R_3I48K4uUCSObFlq,male,English,Never,Rarely,None,No,Yes,Yes,sharper sounds mean its 'hard',KheuKhya,Female,Second,Khya,smooth
R_3I48K4uUCSObFlq,male,English,Never,Rarely,None,No,Yes,Yes,sharper sounds mean its 'hard',KheuKhya,Male,First,Kheu,smooth
R_3iwMdatgNHcUq9U,male,english,Never,Never,None,No,Maybe,No,The softer sounding made me think it was more smooth sounding,KhyaKheu,Male,Second,Kheu,smooth
R_3iwMdatgNHcUq9U,male,english,Never,Never,None,No,Maybe,No,The softer sounding made me think it was more smooth sounding,KheuKhya,Female,Second,Khya,smooth
R_3k1X41fwijNSfdD,male,English,Never,Occasionally,None,No,No,No,"I was asked which was smoother, not which was harder. I just chose what seemed smoother to me. I guess I chose which was more like a gradient of sounds rather than a sharp change. I probably choose softer sounds as they seem smoother.",KhyaKheu,Female,Second,Kheu,smooth
R_3k1X41fwijNSfdD,male,English,Never,Occasionally,None,No,No,No,"I was asked which was smoother, not which was harder. I just chose what seemed smoother to me. I guess I chose which was more like a gradient of sounds rather than a sharp change. I probably choose softer sounds as they seem smoother.",KheuKhya,Male,Second,Khya,smooth
R_3kthTkJtBHb6rxX,male,English,Never,Rarely,None,No,Yes,No,The sounds with less empty space  sounded smoother and softer.,KhyaKheu,Female,First,Khya,smooth
R_3kthTkJtBHb6rxX,male,English,Never,Rarely,None,No,Yes,No,The sounds with less empty space  sounded smoother and softer.,KheuKhya,Male,Second,Khya,smooth
R_3ltwsP56YxN2Ip8,female,English,Never,Don't know,None,No,No,No,One sound seemed more complex than the other.,KheuKhya,Female,Second,Khya,smooth
R_3ltwsP56YxN2Ip8,female,English,Never,Don't know,None,No,No,No,One sound seemed more complex than the other.,KhyaKheu,Male,First,Khya,smooth
R_3MidzGXO2GZh7S7,female,spanish and english,Never,Never,None,No,Yes,No,I dont know ,KhyaKheu,Male,Second,Kheu,smooth
